past_orders,delivery_delays,support_tickets,meal_rating,churn
39,7,1,1.5,1
29,8,5,2.0,1
15,3,6,3.3,1
43,0,5,4.5,1
8,0,2,3.2,0
21,9,3,2.0,1
39,3,4,3.7,1
19,6,0,4.0,1
23,1,7,2.0,1
11,2,4,2.5,1
11,0,3,3.1,1
24,4,3,3.0,1
36,0,3,2.6,1
40,7,4,2.2,1
24,0,6,1.4,1
3,0,3,1.2,1
22,1,5,4.8,1
2,1,4,4.4,1
24,5,7,2.4,1
44,6,3,4.8,1
30,4,5,3.7,1
38,0,6,2.9,1
2,0,2,3.0,0
21,2,6,1.3,1
33,1,7,1.4,1
12,4,3,3.4,1
22,9,7,3.2,1
44,5,4,1.9,1
25,6,1,4.8,1
49,3,3,4.1,1
27,6,1,1.5,1
42,7,5,4.7,1
28,0,2,4.9,0
16,5,0,5.0,1
15,7,7,1.2,1
47,4,6,3.9,1
44,3,2,3.2,1
3,1,3,3.8,1
37,5,1,4.9,1
7,5,6,3.8,1
21,0,1,4.3,0
9,8,4,4.5,1
39,5,1,4.4,1
18,2,4,2.7,1
4,3,5,1.9,1
25,3,6,2.6,1
14,2,6,4.6,1
9,9,0,1.6,1
26,2,3,3.1,1
2,2,4,1.9,1
20,3,0,3.3,1
28,6,1,4.5,1
47,3,1,4.5,1
7,8,0,1.9,1
44,0,6,4.6,1
8,7,1,3.4,1
47,6,7,2.4,1
35,1,5,3.8,1
14,7,5,2.9,1
17,0,7,2.5,1
36,8,0,3.8,1
40,8,7,2.0,1
4,1,4,2.3,1
2,6,4,2.7,1
6,9,0,2.0,1
42,2,7,2.6,1
4,6,4,3.3,1
29,9,6,4.0,1
18,8,7,4.1,1
26,3,6,4.3,1
44,0,4,4.0,1
34,1,5,3.7,1
10,0,4,2.0,1
36,4,6,2.6,1
14,4,2,2.9,1
31,6,3,1.3,1
48,8,1,3.1,1
15,8,7,2.7,1
8,2,2,4.2,1
14,2,4,4.9,1
23,2,5,3.2,1
40,3,0,2.3,1
21,7,4,1.2,1
16,5,5,4.7,1
45,7,3,4.7,1
18,0,4,2.0,1
47,7,6,3.8,1
24,3,0,1.3,1
26,0,5,1.7,1
25,7,5,1.9,1
45,3,5,2.2,1
41,5,3,5.0,1
29,7,4,3.8,1
15,3,3,2.5,1
45,2,7,3.9,1
1,8,1,4.7,1
25,2,1,4.8,0
7,8,7,1.2,1
9,1,4,2.6,1
24,1,6,1.4,1
1,1,3,2.3,1
44,5,0,1.7,1
8,2,5,3.6,1
24,8,5,2.6,1
11,3,4,1.9,1
17,0,6,2.1,1
8,3,1,2.4,1
35,0,1,2.0,0
35,4,5,2.8,1
33,3,4,1.1,1
5,7,3,2.1,1
42,7,1,2.6,1
39,6,3,3.4,1
41,2,6,2.1,1
28,0,1,1.5,0
7,0,1,1.3,0
9,2,2,4.8,1
8,5,1,2.7,1
12,6,7,3.3,1
34,5,0,4.7,1
33,5,7,1.3,1
48,5,4,4.5,1
23,2,4,3.2,1
24,5,3,1.7,1
37,7,7,2.6,1
35,1,7,4.1,1
44,4,7,2.9,1
40,0,6,4.9,1
22,0,1,2.5,0
27,4,0,4.0,1
35,2,3,2.6,1
1,3,7,4.3,1
35,2,7,3.3,1
37,0,2,1.3,1
47,0,3,1.1,1
14,4,7,1.5,1
3,5,3,1.1,1
1,2,1,1.3,1
5,8,2,3.8,1
26,4,3,3.1,1
14,7,0,4.0,1
39,0,0,4.7,0
27,4,4,3.3,1
9,2,2,3.9,1
15,0,2,4.0,0
15,3,4,2.5,1
26,4,3,2.0,1
42,6,2,1.8,1
13,0,0,2.0,0
32,2,0,2.1,0
39,1,7,1.8,1
49,8,1,4.5,1
32,9,2,4.0,1
4,5,3,1.2,1
30,9,4,2.1,1
37,2,4,1.1,1
23,7,3,3.0,1
39,7,6,2.9,1
45,1,5,4.3,1
15,5,1,2.2,1
43,6,4,4.3,1
29,1,2,4.9,0
36,9,1,1.4,1
13,1,2,4.2,0
32,9,6,3.4,1
7,0,0,2.9,0
22,7,1,2.7,1
28,0,7,4.1,1
2,8,4,3.6,1
42,5,1,4.2,1
45,6,1,4.6,1
6,9,1,3.5,1
28,6,5,4.9,1
28,9,1,3.4,1
44,2,2,3.5,1
44,1,0,3.2,0
20,8,6,1.4,1
30,7,3,3.9,1
11,9,1,3.2,1
28,6,4,2.8,1
25,8,1,4.6,1
39,3,4,2.2,1
33,3,2,3.1,1
1,0,4,3.8,1
27,7,7,4.2,1
13,2,3,2.8,1
41,6,0,4.4,1
3,1,4,4.1,1
39,1,4,1.3,1
6,6,0,1.2,1
8,5,3,3.5,1
27,2,1,2.4,1
9,8,4,1.8,1
37,9,0,3.3,1
33,5,7,2.4,1
42,9,7,3.1,1
44,9,2,2.8,1
24,5,0,3.3,1
15,0,2,2.6,0
32,3,7,3.8,1
