past_orders,delivery_delays,support_tickets,meal_ratings,churn
39,7,2,4.1,1
29,7,3,2.4,1
15,0,2,4.7,0
43,3,0,4.4,0
8,0,0,2.7,0
21,5,4,4.0,1
39,0,5,4.0,0
19,1,2,1.4,1
23,3,8,4.6,1
11,3,4,3.0,1
11,5,7,4.3,1
24,6,0,2.3,1
36,1,4,4.6,0
40,2,2,2.6,0
24,0,0,1.0,0
3,4,3,4.6,1
22,0,4,1.4,1
2,7,6,2.3,1
24,0,0,4.8,0
44,2,2,4.8,0
30,0,1,3.3,0
38,1,8,3.5,1
2,1,9,2.8,1
21,3,5,2.2,1
33,5,9,2.3,1
12,6,2,3.7,1
22,4,7,4.0,1
44,7,7,4.2,1
25,0,1,4.2,0
49,0,5,1.4,1
27,2,6,3.0,1
42,5,1,1.2,1
28,1,9,3.2,1
16,4,1,2.8,1
15,3,9,4.6,1
47,1,0,2.4,0
44,7,7,1.5,1
3,5,0,1.6,1
37,7,8,4.0,1
7,6,5,3.5,1
21,3,6,1.4,1
9,6,9,1.3,1
39,2,6,3.8,1
18,7,9,1.3,1
4,2,2,4.3,0
25,0,1,3.8,0
14,6,8,1.3,1
9,5,7,1.3,1
26,7,9,4.9,1
2,4,6,2.5,1
20,3,8,2.5,1
28,1,3,4.3,0
47,5,3,4.8,0
7,5,0,4.9,0
44,2,7,4.0,1
8,6,2,2.5,1
47,7,6,1.3,1
35,7,1,4.1,0
14,0,1,3.2,0
17,0,6,2.7,1
36,3,5,4.6,0
40,2,2,1.4,1
4,5,8,3.0,1
2,7,9,1.0,1
6,4,5,2.9,1
42,2,9,1.2,1
4,3,9,1.5,1
29,3,5,1.5,1
18,2,0,3.6,0
26,3,3,4.0,0
44,2,9,3.3,1
34,1,5,4.8,0
10,2,5,2.5,1
36,6,4,2.1,1
14,2,0,4.5,0
31,3,7,1.9,1
48,7,4,4.9,0
15,6,4,1.0,1
8,3,6,4.9,1
14,0,3,1.2,1
23,0,5,4.6,0
40,7,3,3.1,1
21,7,2,5.0,1
16,6,6,1.3,1
45,1,7,3.2,1
18,7,3,4.9,1
47,0,1,3.1,0
24,2,9,3.5,1
26,3,2,3.8,0
25,0,0,2.8,0
45,0,7,3.5,0
41,1,2,3.3,0
29,6,9,4.6,1
15,6,6,1.2,1
45,5,9,2.1,1
1,1,4,4.8,1
25,2,9,4.6,1
7,6,4,2.8,1
9,3,6,3.5,1
24,7,8,2.1,1
1,1,4,1.8,1
44,7,0,2.9,0
8,0,9,2.4,1
24,3,9,3.3,1
11,3,0,1.3,1
17,0,1,4.9,0
8,1,5,4.9,1
35,0,8,3.8,1
35,7,7,3.1,1
33,5,4,2.2,1
5,3,0,4.3,0
42,4,6,3.7,1
39,4,4,1.7,1
41,7,5,4.6,1
28,2,6,4.3,1
7,6,2,4.8,1
9,0,9,3.9,1
8,0,2,3.5,0
12,2,4,2.7,1
34,2,5,4.7,0
33,7,8,4.5,1
48,7,4,1.2,1
23,2,0,1.1,1
24,3,3,2.5,1
37,7,4,4.2,1
35,5,9,4.9,1
44,7,9,1.6,1
40,0,4,3.4,0
22,7,6,2.5,1
27,3,3,4.9,0
35,2,0,4.4,0
1,0,4,4.4,0
35,7,6,2.9,1
37,3,9,2.7,1
47,5,9,2.1,1
14,7,5,1.2,1
3,3,4,4.5,1
1,5,3,4.3,1
5,2,1,5.0,0
26,7,3,5.0,1
14,5,9,3.2,1
39,0,9,4.1,1
27,2,2,4.8,0
9,0,9,4.4,1
15,4,0,2.0,1
15,1,7,2.8,1
26,7,4,1.5,1
42,5,3,4.8,0
13,1,7,3.4,1
32,1,6,1.9,1
39,5,1,3.7,0
49,2,0,3.5,0
32,7,3,2.4,1
4,4,7,1.5,1
30,0,1,3.7,0
37,3,2,3.1,0
23,0,0,4.1,0
39,3,0,3.1,0
45,0,2,4.4,0
15,5,4,3.2,1
43,4,2,3.2,0
29,7,0,4.5,0
36,3,0,2.6,0
13,7,7,1.5,1
32,7,9,1.1,1
7,7,1,4.0,1
22,6,2,3.5,1
28,2,1,3.8,0
2,0,2,1.9,1
42,7,6,1.5,1
45,0,0,1.1,0
6,7,9,2.4,1
28,3,7,3.4,1
28,2,9,2.6,1
44,2,9,2.7,1
44,5,9,4.6,1
20,6,1,2.4,1
30,5,2,3.1,1
11,5,8,4.1,1
28,5,6,2.6,1
25,5,3,3.5,1
39,5,9,4.4,1
33,4,4,4.8,0
1,2,1,1.6,1
27,5,7,4.7,1
13,7,3,3.0,1
41,2,8,2.0,1
3,2,4,2.8,1
39,1,8,4.9,1
6,4,3,3.0,1
8,5,9,2.3,1
27,0,4,3.5,0
9,3,8,2.0,1
37,6,7,1.3,1
33,7,2,1.5,1
42,0,0,1.5,0
44,4,2,1.6,1
24,3,3,1.6,1
15,4,1,3.6,0
32,7,0,1.7,1
